,Bond,Angle,Dihedral,Improper
137149105,0.02660090066591834,2.491948838752288,2.351269756514673,0.573683742330605
137149106,0.02665563186750524,2.5453716464900538,2.361339672626779,0.5820914826688404
137149107,0.02661346422432128,2.495708397991316,2.3742339395209893,0.5428635211812274
137157643,0.016005955536493404,2.510218905099186,3.2691471065144606,
137157644,0.016001499758890984,2.508763977037383,3.2303697667064104,
137157910,0.030654151671222967,3.8808445541356313,14.085661372864239,0.20914228648917607
137157911,0.030751086198135342,3.8961921172800564,14.082379031035883,0.19471034451367294
137157912,0.03066538758476767,3.854690661351212,13.704630228547414,0.29442535304621553
137157924,0.015939044208369498,3.4131267065978754,26.071855686857376,6.749666130753246
137157926,0.01835443803846119,2.824290931018541,20.93821693487384,5.531303130228857
137157927,0.01833844009406685,2.823911566063342,20.730309140376875,5.483988195362956
